DATAFLOW,MEASURE,INDUSTRY,TSEST,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
PT:RT(1.0.0),M4,20,10,4,Q,2021-Q4,15.7,PCT,0,,
PT:RT(1.0.0),M3,20,20,3,Q,1983-Q3,3403.2,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1983-Q4,3447.6,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1984-Q1,3430.1,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1984-Q2,3516.8,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1984-Q3,3646.8,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1984-Q4,3704.7,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1985-Q1,3652.3,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1985-Q2,3705.9,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1985-Q3,3740,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1985-Q4,3826.4,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1986-Q1,3872.7,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1986-Q2,3904.8,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1986-Q3,3801.4,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1986-Q4,3838.7,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1987-Q1,3910.9,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1987-Q2,3884.9,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1987-Q3,4047,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1987-Q4,4179.8,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1988-Q1,4260,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1988-Q2,4492.2,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1988-Q3,4749.4,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1988-Q4,4624.7,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1989-Q1,4754.5,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1989-Q2,4812.5,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1989-Q3,4878.3,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1989-Q4,4925.1,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1990-Q1,5048,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1990-Q2,5119.5,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1990-Q3,5148.7,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1990-Q4,5100.4,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1991-Q1,5151.9,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1991-Q2,5132.3,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1991-Q3,5282.8,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1991-Q4,5400,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1992-Q1,5464.4,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1992-Q2,5571.9,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1992-Q3,5578.8,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1992-Q4,5682.8,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1993-Q1,5645.7,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1993-Q2,5592.9,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1993-Q3,5648.7,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1993-Q4,5959,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1994-Q1,6068.3,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1994-Q2,6246.9,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1994-Q3,6371.2,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1994-Q4,6462.5,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1995-Q1,6509.4,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1995-Q2,6771.5,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1995-Q3,6735.7,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1995-Q4,6706.6,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1996-Q1,6743.6,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1996-Q2,6766.5,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1996-Q3,6893.5,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1996-Q4,6777.2,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1997-Q1,6937.9,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1997-Q2,6980.7,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1997-Q3,7136.2,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1997-Q4,7265.5,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1998-Q1,7327.9,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1998-Q2,7446.7,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1998-Q3,7580.5,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1998-Q4,7659.5,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1999-Q1,8028.5,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1999-Q2,8067.2,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1999-Q3,8119.1,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,1999-Q4,8305.3,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2000-Q1,8372.3,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2000-Q2,8639.9,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2000-Q3,8472.6,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2000-Q4,8635.1,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2001-Q1,8802.2,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2001-Q2,8904.6,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2001-Q3,8890.3,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2001-Q4,9099.6,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2002-Q1,9274,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2002-Q2,9518.6,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2002-Q3,9635.5,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2002-Q4,9806.7,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2003-Q1,9865.4,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2003-Q2,10185.6,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2003-Q3,10650.2,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2003-Q4,11128.5,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2004-Q1,11266.2,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2004-Q2,11637,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2004-Q3,11758.8,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2004-Q4,11583.1,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2005-Q1,11728.5,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2005-Q2,11685.7,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2005-Q3,11889.7,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2005-Q4,12024.8,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2006-Q1,12170.6,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2006-Q2,12269.7,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2006-Q3,12404.7,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2006-Q4,12511.4,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2007-Q1,12897.8,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2007-Q2,13099.3,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2007-Q3,13402.1,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2007-Q4,13658.3,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2008-Q1,13652,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2008-Q2,13503.9,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2008-Q3,13647.7,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2008-Q4,13788.2,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2009-Q1,13875.5,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2009-Q2,14118.1,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2009-Q3,13865,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2009-Q4,13912.8,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2010-Q1,13810.4,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2010-Q2,13851.3,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2010-Q3,13994.2,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2010-Q4,13910.2,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2011-Q1,13988.7,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2011-Q2,14035.3,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2011-Q3,14185.8,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2011-Q4,14273.6,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2012-Q1,14587.5,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2012-Q2,14815.2,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2012-Q3,14800.4,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2012-Q4,14916,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2013-Q1,15172.7,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2013-Q2,15229,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2013-Q3,15365.7,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2013-Q4,15462.8,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2014-Q1,15575.8,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2014-Q2,15552.8,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2014-Q3,15460.6,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2014-Q4,15560.4,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2015-Q1,15882,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2015-Q2,15913.7,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2015-Q3,15930.2,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2015-Q4,15920.6,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2016-Q1,16005.3,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2016-Q2,15970.4,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2016-Q3,16141.1,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2016-Q4,16348.8,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2017-Q1,16178.1,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2017-Q2,16349.4,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2017-Q3,16387.6,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2017-Q4,16342.6,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2018-Q1,16433.3,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2018-Q2,16450.4,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2018-Q3,16573.8,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2018-Q4,16683.7,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2019-Q1,16673.7,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2019-Q2,16907.8,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2019-Q3,16907.6,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2019-Q4,17102.1,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2020-Q1,17483.3,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2020-Q2,17198.4,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2020-Q3,18700.9,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2020-Q4,18683.3,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2021-Q1,18484.6,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2021-Q2,18572.5,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2021-Q3,18617.7,AUD,6,,
PT:RT(1.0.0),M3,20,20,3,Q,2021-Q4,19171.8,AUD,6,,
